Year,County,PSI,PSIDescription,Count,Population,ObsRate
2011,Orange,21,Retained Surgical Item or Unretrieved Device Fragment,17,2319605,0.73
2012,Orange,21,Retained Surgical Item or Unretrieved Device Fragment,19,2270432,0.84
2013,Orange,21,Retained Surgical Item or Unretrieved Device Fragment,21,2303808,0.91
2014,Orange,21,Retained Surgical Item or Unretrieved Device Fragment,19,2330275,0.82
2015,Orange,21,Retained Surgical Item or Unretrieved Device Fragment,8,1754644,0.46
2005,Placer,21,Retained Surgical Item or Unretrieved Device Fragment,4,233967,1.71
2006,Placer,21,Retained Surgical Item or Unretrieved Device Fragment,4,241760,1.65
2007,Placer,21,Retained Surgical Item or Unretrieved Device Fragment,3,247749,1.21
2008,Placer,21,Retained Surgical Item or Unretrieved Device Fragment,5,254728,1.96
2009,Placer,21,Retained Surgical Item or Unretrieved Device Fragment,6,260230,2.31
2010,Placer,21,Retained Surgical Item or Unretrieved Device Fragment,1,265780,0.38
2011,Placer,21,Retained Surgical Item or Unretrieved Device Fragment,5,272624,1.83
2012,Placer,21,Retained Surgical Item or Unretrieved Device Fragment,4,269220,1.49
2013,Placer,21,Retained Surgical Item or Unretrieved Device Fragment,3,275142,1.09
2014,Placer,21,Retained Surgical Item or Unretrieved Device Fragment,2,291385,0.69
2015,Placer,21,Retained Surgical Item or Unretrieved Device Fragment,1,211518,0.47
2005,Plumas,21,Retained Surgical Item or Unretrieved Device Fragment,0,16762,0
2006,Plumas,21,Retained Surgical Item or Unretrieved Device Fragment,0,16591,0
2007,Plumas,21,Retained Surgical Item or Unretrieved Device Fragment,1,16601,6.02
2008,Plumas,21,Retained Surgical Item or Unretrieved Device Fragment,0,16521,0
2009,Plumas,21,Retained Surgical Item or Unretrieved Device Fragment,0,16384,0
2010,Plumas,21,Retained Surgical Item or Unretrieved Device Fragment,1,16311,6.13
2011,Plumas,21,Retained Surgical Item or Unretrieved Device Fragment,1,16239,6.16
2012,Plumas,21,Retained Surgical Item or Unretrieved Device Fragment,0,17560,0
2013,Plumas,21,Retained Surgical Item or Unretrieved Device Fragment,0,17229,0
2014,Plumas,21,Retained Surgical Item or Unretrieved Device Fragment,0,16981,0
2015,Plumas,21,Retained Surgical Item or Unretrieved Device Fragment,0,13235,0
2005,Riverside,21,Retained Surgical Item or Unretrieved Device Fragment,20,1365225,1.46
2006,Riverside,21,Retained Surgical Item or Unretrieved Device Fragment,9,1423074,0.63
2007,Riverside,21,Retained Surgical Item or Unretrieved Device Fragment,23,1468741,1.57
2008,Riverside,21,Retained Surgical Item or Unretrieved Device Fragment,26,1497677,1.74
2009,Riverside,21,Retained Surgical Item or Unretrieved Device Fragment,13,1532584,0.85
2010,Riverside,21,Retained Surgical Item or Unretrieved Device Fragment,17,1579716,1.08
2011,Riverside,21,Retained Surgical Item or Unretrieved Device Fragment,16,1618245,0.99
2012,Riverside,21,Retained Surgical Item or Unretrieved Device Fragment,16,1578971,1.01
2013,Riverside,21,Retained Surgical Item or Unretrieved Device Fragment,23,1608253,1.43
2014,Riverside,21,Retained Surgical Item or Unretrieved Device Fragment,20,1723126,1.16
2015,Riverside,21,Retained Surgical Item or Unretrieved Device Fragment,18,1235866,1.46
2005,Sacramento,21,Retained Surgical Item or Unretrieved Device Fragment,12,1001691,1.2
2006,Sacramento,21,Retained Surgical Item or Unretrieved Device Fragment,9,1010429,0.89
2007,Sacramento,21,Retained Surgical Item or Unretrieved Device Fragment,10,1020852,0.98
2008,Sacramento,21,Retained Surgical Item or Unretrieved Device Fragment,15,1032542,1.45
2009,Sacramento,21,Retained Surgical Item or Unretrieved Device Fragment,13,1046094,1.24
2010,Sacramento,21,Retained Surgical Item or Unretrieved Device Fragment,10,1058518,0.94
2011,Sacramento,21,Retained Surgical Item or Unretrieved Device Fragment,12,1075584,1.12
2012,Sacramento,21,Retained Surgical Item or Unretrieved Device Fragment,19,1052498,1.81
2013,Sacramento,21,Retained Surgical Item or Unretrieved Device Fragment,12,1066996,1.12
2014,Sacramento,21,Retained Surgical Item or Unretrieved Device Fragment,5,1102714,0.45
2015,Sacramento,21,Retained Surgical Item or Unretrieved Device Fragment,2,812828,0.25
2005,San Benito,21,Retained Surgical Item or Unretrieved Device Fragment,0,38212,0
2006,San Benito,21,Retained Surgical Item or Unretrieved Device Fragment,0,37946,0
2007,San Benito,21,Retained Surgical Item or Unretrieved Device Fragment,2,37962,5.27
2008,San Benito,21,Retained Surgical Item or Unretrieved Device Fragment,0,38262,0
2009,San Benito,21,Retained Surgical Item or Unretrieved Device Fragment,0,38665,0
2010,San Benito,21,Retained Surgical Item or Unretrieved Device Fragment,0,39605,0
2011,San Benito,21,Retained Surgical Item or Unretrieved Device Fragment,1,40265,2.48
2012,San Benito,21,Retained Surgical Item or Unretrieved Device Fragment,0,41402,0
2013,San Benito,21,Retained Surgical Item or Unretrieved Device Fragment,0,42194,0
2014,San Benito,21,Retained Surgical Item or Unretrieved Device Fragment,1,41257,2.42
2015,San Benito,21,Retained Surgical Item or Unretrieved Device Fragment,0,33017,0
2005,San Bernardino,21,Retained Surgical Item or Unretrieved Device Fragment,14,1347408,1.04
2006,San Bernardino,21,Retained Surgical Item or Unretrieved Device Fragment,14,1373516,1.02
2007,San Bernardino,21,Retained Surgical Item or Unretrieved Device Fragment,15,1390849,1.08
2008,San Bernardino,21,Retained Surgical Item or Unretrieved Device Fragment,20,1405191,1.42
2009,San Bernardino,21,Retained Surgical Item or Unretrieved Device Fragment,11,1420975,0.77
2010,San Bernardino,21,Retained Surgical Item or Unretrieved Device Fragment,20,1447189,1.38
2011,San Bernardino,21,Retained Surgical Item or Unretrieved Device Fragment,19,1474036,1.29
2012,San Bernardino,21,Retained Surgical Item or Unretrieved Device Fragment,24,1428592,1.68
2013,San Bernardino,21,Retained Surgical Item or Unretrieved Device Fragment,18,1446673,1.24
2014,San Bernardino,21,Retained Surgical Item or Unretrieved Device Fragment,14,1521005,0.92
2015,San Bernardino,21,Retained Surgical Item or Unretrieved Device Fragment,11,1099744,1
2005,San Diego,21,Retained Surgical Item or Unretrieved Device Fragment,18,2214544,0.81
2006,San Diego,21,Retained Surgical Item or Unretrieved Device Fragment,22,2229606,0.99
2007,San Diego,21,Retained Surgical Item or Unretrieved Device Fragment,32,2257236,1.42
2008,San Diego,21,Retained Surgical Item or Unretrieved Device Fragment,28,2296616,1.22
2009,San Diego,21,Retained Surgical Item or Unretrieved Device Fragment,35,2332413,1.5
2010,San Diego,21,Retained Surgical Item or Unretrieved Device Fragment,31,2372232,1.31
2011,San Diego,21,Retained Surgical Item or Unretrieved Device Fragment,20,2407960,0.83
2012,San Diego,21,Retained Surgical Item or Unretrieved Device Fragment,26,2359002,1.1
2013,San Diego,21,Retained Surgical Item or Unretrieved Device Fragment,21,2394181,0.88
2014,San Diego,21,Retained Surgical Item or Unretrieved Device Fragment,17,2438827,0.7
2015,San Diego,21,Retained Surgical Item or Unretrieved Device Fragment,13,1829497,0.71
2005,San Francisco,21,Retained Surgical Item or Unretrieved Device Fragment,4,655221,0.61
2006,San Francisco,21,Retained Surgical Item or Unretrieved Device Fragment,12,661295,1.81
2007,San Francisco,21,Retained Surgical Item or Unretrieved Device Fragment,10,670554,1.49
2008,San Francisco,21,Retained Surgical Item or Unretrieved Device Fragment,7,682007,1.03
2009,San Francisco,21,Retained Surgical Item or Unretrieved Device Fragment,11,691485,1.59
2010,San Francisco,21,Retained Surgical Item or Unretrieved Device Fragment,4,694816,0.58
2011,San Francisco,21,Retained Surgical Item or Unretrieved Device Fragment,7,701321,1
2012,San Francisco,21,Retained Surgical Item or Unretrieved Device Fragment,3,704143,0.43
2013,San Francisco,21,Retained Surgical Item or Unretrieved Device Fragment,4,712976,0.56
2014,San Francisco,21,Retained Surgical Item or Unretrieved Device Fragment,4,709035,0.56
2015,San Francisco,21,Retained Surgical Item or Unretrieved Device Fragment,1,548383,0.18
2005,San Joaquin,21,Retained Surgical Item or Unretrieved Device Fragment,12,458859,2.62
2006,San Joaquin,21,Retained Surgical Item or Unretrieved Device Fragment,10,463522,2.16
2007,San Joaquin,21,Retained Surgical Item or Unretrieved Device Fragment,5,468057,1.07
2008,San Joaquin,21,Retained Surgical Item or Unretrieved Device Fragment,4,471774,0.85
2009,San Joaquin,21,Retained Surgical Item or Unretrieved Device Fragment,6,478055,1.26
2010,San Joaquin,21,Retained Surgical Item or Unretrieved Device Fragment,8,486701,1.64
2011,San Joaquin,21,Retained Surgical Item or Unretrieved Device Fragment,1,495680,0.2
2012,San Joaquin,21,Retained Surgical Item or Unretrieved Device Fragment,2,482094,0.41
2013,San Joaquin,21,Retained Surgical Item or Unretrieved Device Fragment,5,486694,1.03
2014,San Joaquin,21,Retained Surgical Item or Unretrieved Device Fragment,3,510294,0.59
2015,San Joaquin,21,Retained Surgical Item or Unretrieved Device Fragment,1,370942,0.27
2005,San Luis Obispo,21,Retained Surgical Item or Unretrieved Device Fragment,0,203693,0
2006,San Luis Obispo,21,Retained Surgical Item or Unretrieved Device Fragment,0,205958,0
2007,San Luis Obispo,21,Retained Surgical Item or Unretrieved Device Fragment,0,208250,0
2008,San Luis Obispo,21,Retained Surgical Item or Unretrieved Device Fragment,3,211458,1.42
2009,San Luis Obispo,21,Retained Surgical Item or Unretrieved Device Fragment,3,213363,1.41
2010,San Luis Obispo,21,Retained Surgical Item or Unretrieved Device Fragment,1,215558,0.46
2011,San Luis Obispo,21,Retained Surgical Item or Unretrieved Device Fragment,3,216909,1.38
2012,San Luis Obispo,21,Retained Surgical Item or Unretrieved Device Fragment,1,212867,0.47
2013,San Luis Obispo,21,Retained Surgical Item or Unretrieved Device Fragment,0,214971,0
2014,San Luis Obispo,21,Retained Surgical Item or Unretrieved Device Fragment,0,220837,0
2015,San Luis Obispo,21,Retained Surgical Item or Unretrieved Device Fragment,1,162048,0.62
2005,San Mateo,21,Retained Surgical Item or Unretrieved Device Fragment,10,535835,1.87
2006,San Mateo,21,Retained Surgical Item or Unretrieved Device Fragment,3,536688,0.56
2007,San Mateo,21,Retained Surgical Item or Unretrieved Device Fragment,3,540450,0.56
2008,San Mateo,21,Retained Surgical Item or Unretrieved Device Fragment,4,548332,0.73
2009,San Mateo,21,Retained Surgical Item or Unretrieved Device Fragment,3,556343,0.54
2010,San Mateo,21,Retained Surgical Item or Unretrieved Device Fragment,2,561671,0.36
2011,San Mateo,21,Retained Surgical Item or Unretrieved Device Fragment,10,567914,1.76
2012,San Mateo,21,Retained Surgical Item or Unretrieved Device Fragment,5,563760,0.89
2013,San Mateo,21,Retained Surgical Item or Unretrieved Device Fragment,1,572187,0.17
2014,San Mateo,21,Retained Surgical Item or Unretrieved Device Fragment,6,567038,1.06
2015,San Mateo,21,Retained Surgical Item or Unretrieved Device Fragment,1,438734,0.23
2005,Santa Barbara,21,Retained Surgical Item or Unretrieved Device Fragment,3,306606,0.98
2006,Santa Barbara,21,Retained Surgical Item or Unretrieved Device Fragment,5,307420,1.63
2007,Santa Barbara,21,Retained Surgical Item or Unretrieved Device Fragment,2,310281,0.64
2008,Santa Barbara,21,Retained Surgical Item or Unretrieved Device Fragment,2,314006,0.64
2009,Santa Barbara,21,Retained Surgical Item or Unretrieved Device Fragment,1,317734,0.31
2010,Santa Barbara,21,Retained Surgical Item or Unretrieved Device Fragment,2,321346,0.62
2011,Santa Barbara,21,Retained Surgical Item or Unretrieved Device Fragment,1,323344,0.31
2012,Santa Barbara,21,Retained Surgical Item or Unretrieved Device Fragment,3,314909,0.95
2013,Santa Barbara,21,Retained Surgical Item or Unretrieved Device Fragment,1,319459,0.31
2014,Santa Barbara,21,Retained Surgical Item or Unretrieved Device Fragment,0,324453,0
2015,Santa Barbara,21,Retained Surgical Item or Unretrieved Device Fragment,3,241070,1.24
2005,Santa Clara,21,Retained Surgical Item or Unretrieved Device Fragment,10,1267009,0.79
2006,Santa Clara,21,Retained Surgical Item or Unretrieved Device Fragment,8,1280352,0.62
2007,Santa Clara,21,Retained Surgical Item or Unretrieved Device Fragment,12,1297418,0.92
2008,Santa Clara,21,Retained Surgical Item or Unretrieved Device Fragment,21,1319407,1.59
2009,Santa Clara,21,Retained Surgical Item or Unretrieved Device Fragment,9,1339490,0.67
2010,Santa Clara,21,Retained Surgical Item or Unretrieved Device Fragment,9,1357407,0.66
2011,Santa Clara,21,Retained Surgical Item or Unretrieved Device Fragment,16,1377352,1.16
2012,Santa Clara,21,Retained Surgical Item or Unretrieved Device Fragment,8,1358776,0.59
2013,Santa Clara,21,Retained Surgical Item or Unretrieved Device Fragment,6,1383328,0.43
2014,Santa Clara,21,Retained Surgical Item or Unretrieved Device Fragment,9,1385342,0.65
2015,Santa Clara,21,Retained Surgical Item or Unretrieved Device Fragment,5,1063381,0.47
2005,Santa Cruz,21,Retained Surgical Item or Unretrieved Device Fragment,5,193146,2.59
2006,Santa Cruz,21,Retained Surgical Item or Unretrieved Device Fragment,3,193902,1.55
2007,Santa Cruz,21,Retained Surgical Item or Unretrieved Device Fragment,0,195548,0
2008,Santa Cruz,21,Retained Surgical Item or Unretrieved Device Fragment,3,198374,1.51
2009,Santa Cruz,21,Retained Surgical Item or Unretrieved Device Fragment,1,201450,0.5
2010,Santa Cruz,21,Retained Surgical Item or Unretrieved Device Fragment,0,204227,0
2011,Santa Cruz,21,Retained Surgical Item or Unretrieved Device Fragment,2,205429,0.97
2012,Santa Cruz,21,Retained Surgical Item or Unretrieved Device Fragment,0,200670,0
2013,Santa Cruz,21,Retained Surgical Item or Unretrieved Device Fragment,3,203323,1.48
2014,Santa Cruz,21,Retained Surgical Item or Unretrieved Device Fragment,2,204815,0.98
2015,Santa Cruz,21,Retained Surgical Item or Unretrieved Device Fragment,1,153534,0.65
2005,Shasta,21,Retained Surgical Item or Unretrieved Device Fragment,6,133597,4.49
2006,Shasta,21,Retained Surgical Item or Unretrieved Device Fragment,7,134702,5.2
2007,Shasta,21,Retained Surgical Item or Unretrieved Device Fragment,4,135409,2.95
2008,Shasta,21,Retained Surgical Item or Unretrieved Device Fragment,4,136355,2.93
2009,Shasta,21,Retained Surgical Item or Unretrieved Device Fragment,2,137066,1.46
2010,Shasta,21,Retained Surgical Item or Unretrieved Device Fragment,2,137755,1.45
2011,Shasta,21,Retained Surgical Item or Unretrieved Device Fragment,0,138865,0
2012,Shasta,21,Retained Surgical Item or Unretrieved Device Fragment,1,137373,0.73
2013,Shasta,21,Retained Surgical Item or Unretrieved Device Fragment,1,138135,0.72
2014,Shasta,21,Retained Surgical Item or Unretrieved Device Fragment,0,142262,0
2015,Shasta,21,Retained Surgical Item or Unretrieved Device Fragment,0,104057,0
2005,Sierra,21,Retained Surgical Item or Unretrieved Device Fragment,0,2724,0
2006,Sierra,21,Retained Surgical Item or Unretrieved Device Fragment,0,2774,0
2007,Sierra,21,Retained Surgical Item or Unretrieved Device Fragment,0,2756,0
2008,Sierra,21,Retained Surgical Item or Unretrieved Device Fragment,0,2742,0
2009,Sierra,21,Retained Surgical Item or Unretrieved Device Fragment,0,2687,0
2010,Sierra,21,Retained Surgical Item or Unretrieved Device Fragment,0,2692,0
2011,Sierra,21,Retained Surgical Item or Unretrieved Device Fragment,0,2613,0
2012,Sierra,21,Retained Surgical Item or Unretrieved Device Fragment,0,4609,0
2013,Sierra,21,Retained Surgical Item or Unretrieved Device Fragment,0,4566,0
2014,Sierra,21,Retained Surgical Item or Unretrieved Device Fragment,0,3692,0
2015,Sierra,21,Retained Surgical Item or Unretrieved Device Fragment,0,4137,0
2005,Siskiyou,21,Retained Surgical Item or Unretrieved Device Fragment,0,35143,0
2006,Siskiyou,21,Retained Surgical Item or Unretrieved Device Fragment,0,35080,0
2007,Siskiyou,21,Retained Surgical Item or Unretrieved Device Fragment,0,35195,0
2008,Siskiyou,21,Retained Surgical Item or Unretrieved Device Fragment,0,35541,0
2009,Siskiyou,21,Retained Surgical Item or Unretrieved Device Fragment,0,35511,0
2010,Siskiyou,21,Retained Surgical Item or Unretrieved Device Fragment,1,35719,2.8
2011,Siskiyou,21,Retained Surgical Item or Unretrieved Device Fragment,0,35459,0
2012,Siskiyou,21,Retained Surgical Item or Unretrieved Device Fragment,0,36324,0
2013,Siskiyou,21,Retained Surgical Item or Unretrieved Device Fragment,1,36015,2.78
2014,Siskiyou,21,Retained Surgical Item or Unretrieved Device Fragment,1,36411,2.75
2015,Siskiyou,21,Retained Surgical Item or Unretrieved Device Fragment,0,27121,0
2005,Solano,21,Retained Surgical Item or Unretrieved Device Fragment,9,301678,2.98
2006,Solano,21,Retained Surgical Item or Unretrieved Device Fragment,11,303214,3.63
2007,Solano,21,Retained Surgical Item or Unretrieved Device Fragment,9,304287,2.96
